date,time_start,time_end,site,sesion,profe
2025-01-07,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-01-08,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-01-09,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-01-10,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-01-14,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-01-15,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-01-17,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-01-20,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-01-21,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-01-23,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-01-24,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-01-28,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-02-03,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-02-04,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-02-06,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-02-07,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-02-11,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-02-13,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-02-14,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-02-17,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-02-18,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-02-19,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-03-03,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-03-04,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-03-06,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-03-10,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-03-12,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-03-19,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-03-24,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
2025-03-25,18:00,20:00,Aula 003 Informática. Facultad de Ciencias,,
